text,label
"URGENT verify your account immediately or it will be suspended",phishing
"Click here immediately to verify your password and restore account access",phishing
"Your PayPal account has been locked confirm your identity now",phishing
"Unusual activity detected login immediately to secure your account",phishing
"Your bank account will be suspended unless you verify your information",phishing
"You have won a cash prize click here to claim your reward",phishing
"Confirm your billing details immediately to avoid service interruption",phishing
"Your Microsoft password expires today click here to keep your account",phishing
"We detected suspicious activity verify your credentials immediately",phishing
"Your package cannot be delivered confirm your payment information",phishing
"Security alert login now to prevent account termination",phishing
"You have received a refund enter your banking information to continue",phishing
"Your Apple ID has been disabled verify your identity now",phishing
"Important account notice click the link to confirm your password",phishing
"Your Amazon account has been restricted update your payment method now",phishing
"Immediate action required your mailbox will be deleted",phishing
"Congratulations you were selected for a reward click here",phishing
"Verify your payroll credentials immediately to receive your salary",phishing
"We noticed an unauthorized login confirm your password now",phishing
"Failure to authenticate your account will result in restricted access",phishing
"Your Chase account requires immediate verification",phishing
"Click this secure link and enter your credentials to unlock your account",phishing
"Final warning your account will close unless you respond immediately",phishing
"Update your credit card information to prevent cancellation",phishing
"Your email quota has been exceeded login here to increase storage",phishing
"Your invoice is overdue make payment immediately using this link",phishing
"Password reset required confirm your current password here",phishing
"Your tax refund is ready submit your bank information to receive funds",phishing
"Account verification required provide your social security information",phishing
"Security department detected unusual activity click here immediately",phishing
"Hey are we still meeting for lunch tomorrow",legitimate
"Your order has shipped and should arrive Friday",legitimate
"Reminder your cybersecurity class begins at ten tomorrow morning",legitimate
"Here are the notes from today's meeting",legitimate
"Your monthly statement is now available in the mobile application",legitimate
"Thanks for submitting your assignment on time",legitimate
"Can you review the attached project document when you have time",legitimate
"Your appointment is confirmed for Monday afternoon",legitimate
"Welcome to the course here is the syllabus for this semester",legitimate
"The development team completed the scheduled maintenance",legitimate
"Your grocery delivery is scheduled to arrive this evening",legitimate
"Please review the agenda before tomorrow's team meeting",legitimate
"Your payment was successfully processed thank you",legitimate
"Here is the receipt from your recent purchase",legitimate
"The library book you requested is now available",legitimate
"Happy birthday hope you have a great day",legitimate
"We have updated the project timeline following today's discussion",legitimate
"Your professor posted a new announcement in the course portal",legitimate
"The networking lab has been moved to room 205",legitimate
"Thank you for contacting customer support",legitimate
"Your flight itinerary is attached for your upcoming trip",legitimate
"The report you requested has been completed",legitimate
"Please submit your weekly timesheet by Friday",legitimate
"The software update was successfully installed",legitimate
"Your reservation has been confirmed for Saturday evening",legitimate
"The team meeting has been rescheduled to three PM",legitimate
"Your subscription renewal was processed successfully",legitimate
"Here is the document we discussed during today's call",legitimate
"Your package was delivered at two PM today",legitimate
"Thanks for registering for next week's workshop",legitimate
